Project Name,Owner,Developer,TCAD ID,Address,Zip Code,Council District,Kirwan Opportunity Index,Distance to Bus Stop,Total Units,Total Affordable Units,Unit Type,Program,Housing Type,Status,Affordability Start Date,Affordability Period,Affordability Expiration Date,Certification Date,C. of O. Date,Required Amount of Fee in Lieu,Date Fee in Lieu Received,Units <= 30% MFI,Units <= 40% MFI,Units <= 50% MFI,Units <= 60% MFI,Units <= 65% MFI,Units <= 80% MFI,Units <= 100% MFI,Market Rate Units,City Funded Amount,% of Funds Leveraged,CLT,DDB,RNY,MDA,NBG,PUDDA,SMART,TOD,UNO,VMU,Location
La Vista de Guadalupe,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,,813 E 8th Street,78702,1,Very Low,1/4 Mile,22,22,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,08/20/2008,40,08/27/2047,,,,,3,0,18,1,0,0,0,0,$2138239.00,200.62%,No,No,No,No,No,No,No,No,No,No,"(30.267118976130799, -97.733007217926399)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/25/2011,10,10/25/2021,11/24/2003,,,,0,0,0,0,0,1,0,0,$2484534.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.293499983426699, -97.648344480400098)"
Watersedge PUD,"MAK Marshall Ranch, L.P.","MAK Marshall Ranch, L.P.",,,,,,Neither,2000,600,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,0,,02/15/2005,,,,0,0,0,0,0,600,0,1400,$0.00,,No,No,No,No,No,Yes,Yes,No,No,No,
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,11/16/2011,10,11/16/2021,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.294871761634699, -97.647121885984305)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,01/19/2012,10,01/19/2022,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.292995476370699, -97.648366755814806)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/03/2013,10,10/03/2023,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2938823456861, -97.647793200222395)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/14/2013,10,10/14/2023,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.294578502259899, -97.647311626621004)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/07/2013,10,10/07/2023,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.294298225375002, -97.648054011145902)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/07/2013,10,10/07/2023,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.296688858328601, -97.647017650790701)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/17/2013,10,10/17/2023,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2947206090744, -97.647873073132104)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,12/19/2013,10,12/19/2023,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.294659987279399, -97.646467453491894)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,12/19/2013,10,12/19/2023,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2965722986396, -97.647095188865094)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,12/19/2013,10,12/19/2023,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.293577155769199, -97.647925521773999)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,01/19/2014,10,01/19/2024,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2960546507591, -97.647002276853897)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,02/20/2014,10,02/20/2024,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.293766329921102, -97.648238025933907)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,02/24/2014,10,02/24/2024,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.296841985475002, -97.646976241666493)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,03/04/2014,10,03/04/2024,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.293901389541201, -97.648188850424404)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,03/05/2014,10,03/05/2024,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.294433717646999, -97.648025487936295)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,03/19/2014,10,03/19/2024,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.293449069244399, -97.647966199580594)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,03/26/2014,10,03/26/2024,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.29644159027, -97.647181361305002)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,05/27/2014,10,05/27/2024,11/24/2013,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.296276504270701, -97.64682279246)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,05/28/2014,10,05/28/2024,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2940333084006, -97.648160426939199)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,05/28/2014,10,05/28/2024,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.293862187431301, -97.647240757265706)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,06/19/2014,10,06/19/2024,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.294166507240501, -97.648090701533604)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/09/2012,10,10/09/2022,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.293216578636802, -97.648492674627803)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,11/02/2012,10,11/02/2022,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.293387341456199, -97.648438386307305)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,11/09/2012,10,11/09/2022,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.293278306624298, -97.648020488771095)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,11/01/2012,10,11/01/2022,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.293635188799101, -97.648303573338595)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,02/27/2012,10,02/27/2022,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.293697807740902, -97.647872626536895)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,02/14/2012,10,02/14/2022,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2959238561481, -97.647084330999604)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,08/30/2012,10,08/30/2022,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.296167004602101, -97.646895981860098)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,08/31/2012,10,08/31/2022,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.296407385036101, -97.646744855638403)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,07/20/2012,10,07/20/2022,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.296534318877502, -97.646650515235095)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,07/31/2012,10,07/31/2022,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.296662059050298, -97.646593330749795)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,04/18/2012,10,04/18/2022,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.294214344623299, -97.647639530394102)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,01/11/2012,10,01/11/2022,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.294922218022201, -97.647479519768098)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,02/14/2012,10,02/14/2022,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.294578618116901, -97.647489081654399)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,06/21/2012,10,06/21/2022,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2941961342122, -97.647454339010295)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,02/27/2012,10,02/27/2022,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.294150085913, -97.647307036686996)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,08/15/2012,10,08/15/2022,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.293755136041501, -97.647429465565594)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,06/27/2012,10,06/27/2022,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.294517500259499, -97.647135866170998)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,04/18/2012,10,04/18/2022,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.294061074381201, -97.647160961934503)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,04/19/2012,10,04/19/2022,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.294843753431699, -97.646982352975598)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,09/21/2012,10,09/21/2022,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.294464450514202, -97.646997030665105)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,02/17/2012,10,02/17/2022,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.294836202892601, -97.646792711748105)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,07/06/2012,10,07/06/2022,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2943607714585, -97.646834851114207)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/03/2012,10,10/03/2022,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2947713082721, -97.646600546557707)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,03/20/2012,10,03/20/2022,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.294492047939102, -97.6464845213508)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,06/20/2014,10,06/20/2024,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.294546877004699, -97.647956287929205)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,07/22/2014,10,07/22/2024,11/24/2003,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.294362031916599, -97.646603699239705)"
